Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 80.01      0.04     0.04     1312     0.03     0.04  pxr::gfx::drawText(pxr::Vector2i, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, pxr::gfx::Layer)
 20.00      0.05     0.01  2063771     0.00     0.00  pxr::gfx::Color4u::getAlpha() const
  0.00      0.05     0.00   892948     0.00     0.00  pxr::gfx::Color4u::Color4u()
  0.00      0.05     0.00   886449     0.00     0.00  pxr::Vector2i::Vector2i()
  0.00      0.05     0.00   133078     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.05     0.00    66539     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.05     0.00    65306     0.00     0.00  std::__array_traits<pxr::gfx::Glyph, 95ul>::_S_ref(pxr::gfx::Glyph const (&) [95], unsigned long)
  0.00      0.05     0.00    65306     0.00     0.00  std::array<pxr::gfx::Glyph, 95ul>::operator[](unsigned long)
  0.00      0.05     0.00    65223     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.05     0.00    65223     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.05     0.00    42216     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.05     0.00    10716     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.05     0.00     8304     0.00     0.00  std::__array_traits<pxr::gfx::Screen, 4ul>::_S_ref(pxr::gfx::Screen const (&) [4], unsigned long)
  0.00      0.05     0.00     8304     0.00     0.00  std::array<pxr::gfx::Screen, 4ul>::operator[](unsigned long)
  0.00      0.05     0.00     7809     0.00     0.00  tinyxml2::StrPair::GetStr()
  0.00      0.05     0.00     6923     0.00     0.00  tinyxml2::XMLAttribute::Name() const
  0.00      0.05     0.00     6915     0.00     0.00  bool std::chrono::operator< <long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.05     0.00     6782     0.00     0.00  tinyxml2::XMLUtil::StringEqual(char const*, char const*, int)
  0.00      0.05     0.00     6448     0.00     0.00  pxr::gfx::Color4u::Color4u(unsigned char, unsigned char, unsigned char, unsigned char)
  0.00      0.05     0.00     6398     0.00     0.00  std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.05     0.00     6116     0.00     0.00  tinyxml2::XMLUtil::IsNameStartChar(unsigned char)
  0.00      0.05     0.00     5921     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.05     0.00     5188     0.00     0.00  tinyxml2::XMLUtil::IsWhiteSpace(char)
  0.00      0.05     0.00     5188     0.00     0.00  tinyxml2::XMLUtil::IsUTF8Continuation(char)
  0.00      0.05     0.00     4348     0.00     0.00  tinyxml2::XMLUtil::IsNameChar(unsigned char)
  0.00      0.05     0.00     3457     0.00     0.00  tinyxml2::StrPair::Reset()
  0.00      0.05     0.00     3435     0.00     0.00  tinyxml2::XMLUtil::SkipWhiteSpace(char const*, int*)
  0.00      0.05     0.00     3388     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator+<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.05     0.00     3199     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.05     0.00     2920     0.00     0.00  pxr::Engine::GameClock::getNow() const
  0.00      0.05     0.00     2838     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, pxr::gfx::SpriteSheet> >::_M_ptr()
  0.00      0.05     0.00     2838     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, pxr::gfx::SpriteSheet> >::_M_addr()
  0.00      0.05     0.00     2838     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, pxr::gfx::SpriteSheet>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, pxr::gfx::SpriteSheet>, false>*)
  0.00      0.05     0.00     2838     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::SpriteSheet>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, pxr::gfx::SpriteSheet>, false>*)
  0.00      0.05     0.00     2838     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, pxr::gfx::SpriteSheet> >::_M_valptr()
  0.00      0.05     0.00     2834     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, pxr::gfx::SpriteSheet> >::_M_v()
  0.00      0.05     0.00     2751     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
